"Partido";"Geral";"AC";"AC %";"AL";"AL %";"AM";"AM %";"AP";"AP %";"BA";"BA %";"CE";"CE %";"ES";"ES %";"GO";"GO %";"MA";"MA %";"MG";"MG %";"MS";"MS %";"MT";"MT %";"PA";"PA %";"PB";"PB %";"PE";"PE %";"PI";"PI %";"PR";"PR %";"RJ";"RJ %";"RN";"RN %";"RO";"RO %";"RR";"RR %";"RS";"RS %";"SC";"SC %";"SE";"SE %";"SP";"SP %";"TO";"TO %"
"DEM";500;;;1;1.0%;4;6.5%;1;6.3%;45;10.8%;2;1.1%;7;9.0%;15;6.1%;18;8.3%;97;11.4%;4;5.1%;23;16.3%;6;4.2%;36;16.1%;19;10.3%;10;4.5%;22;5.5%;5;5.4%;17;10.2%;4;7.7%;;;12;"#VALUE!";45;15.4%;5;6.7%;75;11.6%;27;19.4%
"PCdoB";40;;;1;1.0%;1;1.6%;;;18;4.3%;5;2.7%;;;;;1;0.5%;2;0.2%;;;;;;;1;0.4%;4;2.2%;3;1.3%;1;0.3%;;;;;;;1;6.7%;;;;;2;2.7%;;;;
"PDT";354;;;3;2.9%;;;4;25.0%;8;1.9%;2;1.1%;3;3.8%;1;0.4%;67;30.9%;52;6.1%;9;11.5%;4;2.8%;9;6.3%;6;2.7%;9;4.9%;11;4.9%;38;9.5%;5;5.4%;7;4.2%;2;3.8%;;;66;"#VALUE!";2;0.7%;12;16.0%;29;4.5%;5;3.6%
"PHS";13;;;;;1;1.6%;;;4;1.0%;1;0.5%;;;;;;;1;0.1%;;;;;;;2;0.9%;;;;;;;;;1;0.6%;;;;;1;"#VALUE!";;;;;2;0.3%;;
"PMDB";1199;4;18.2%;19;18.6%;24;38.7%;3;18.8%;113;27.1%;33;17.9%;22;28.2%;58;23.6%;15;6.9%;121;14.2%;28;35.9%;19;13.5%;39;27.3%;59;26.5%;11;6.0%;36;16.1%;136;34.1%;36;39.1%;39;23.4%;12;23.1%;1;6.7%;141;"#VALUE!";110;37.5%;13;17.3%;69;10.7%;38;27.3%
"PMN";40;;;6;5.9%;3;4.8%;;;3;0.7%;;;1;1.3%;;;3;1.4%;8;0.9%;;;1;0.7%;;;1;0.4%;1;0.5%;1;0.4%;3;0.8%;;;6;3.6%;;;;;;;;;;;3;0.5%;;
"PP";549;2;9.1%;21;20.6%;3;4.8%;2;12.5%;38;9.1%;8;4.3%;3;3.8%;48;19.5%;10;4.6%;54;6.3%;1;1.3%;21;14.9%;6;4.2%;11;4.9%;4;2.2%;11;4.9%;41;10.3%;14;15.2%;16;9.6%;2;3.8%;;;147;"#VALUE!";54;18.4%;1;1.3%;25;3.9%;6;4.3%
"PPS";135;;;2;2.0%;2;3.2%;;;;;2;1.1%;2;2.6%;2;0.8%;4;1.8%;35;4.1%;2;2.6%;9;6.4%;3;2.1%;1;0.4%;1;0.5%;6;2.7%;17;4.3%;;;3;1.8%;1;1.9%;1;6.7%;4;"#VALUE!";5;1.7%;1;1.3%;30;4.7%;2;1.4%
"PR";388;1;4.5%;2;2.0%;8;12.9%;;;43;10.3%;9;4.9%;2;2.6%;29;11.8%;9;4.1%;76;8.9%;8;10.3%;33;23.4%;17;11.9%;15;6.7%;29;15.8%;2;0.9%;20;5.0%;3;3.3%;17;10.2%;7;13.5%;2;13.3%;;;2;0.7%;6;8.0%;25;3.9%;23;16.5%
"PRB";54;;;1;1.0%;;;;;2;0.5%;17;9.2%;1;1.3%;2;0.8%;9;4.1%;9;1.1%;;;;;1;0.7%;2;0.9%;2;1.1%;3;1.3%;;;2;2.2%;;;;;;;;;;;1;1.3%;2;0.3%;;
"PRP";17;;;;;;;;;4;1.0%;3;1.6%;;;1;0.4%;2;0.9%;;;;;1;0.7%;2;1.4%;2;0.9%;;;;;1;0.3%;;;;;;;;;;;;;;;1;0.2%;;
"PRTB";11;;;;;;;;;2;0.5%;;;;;1;0.4%;4;1.8%;1;0.1%;;;;;;;;;;;;;2;0.5%;;;;;1;1.9%;;;;;;;;;;;;
"PSB";310;2;9.1%;5;4.9%;1;1.6%;;;16;3.8%;22;12.0%;13;16.7%;4;1.6%;9;4.1%;14;1.6%;2;2.6%;3;2.1%;4;2.8%;12;5.4%;48;26.1%;38;17.0%;12;3.0%;4;4.3%;44;26.3%;3;5.8%;1;6.7%;12;"#VALUE!";1;0.3%;10;13.3%;26;4.0%;4;2.9%
"PSC";56;;;6;5.9%;1;1.6%;;;5;1.2%;1;0.5%;1;1.3%;5;2.0%;2;0.9%;12;1.4%;;;;;1;0.7%;1;0.4%;;;;;4;1.0%;3;3.3%;;;;;;;;;;;9;12.0%;5;0.8%;;
"PSDB";789;1;4.5%;13;12.7%;4;6.5%;2;12.5%;26;6.2%;54;29.3%;13;16.7%;53;21.5%;24;11.1%;157;18.4%;11;14.1%;7;5.0%;12;8.4%;42;18.8%;17;9.2%;14;6.3%;42;10.5%;8;8.7%;4;2.4%;2;3.8%;6;40.0%;20;"#VALUE!";36;12.3%;2;2.7%;204;31.6%;15;10.8%
"PSDC";8;;;;;1;1.6%;;;;;;;1;1.3%;;;1;0.5%;3;0.4%;;;;;;;;;;;;;;;;;;;2;3.8%;;;;;;;;;;;;
"PSL";15;;;;;;;;;1;0.2%;1;0.5%;;;;;1;0.5%;7;0.8%;;;;;1;0.7%;1;0.4%;;;;;2;0.5%;;;;;;;;;;;;;;;1;0.2%;;
"PT";553;12;54.5%;1;1.0%;6;9.7%;3;18.8%;67;16.1%;15;8.2%;6;7.7%;13;5.3%;9;4.1%;107;12.5%;10;12.8%;16;11.3%;27;18.9%;6;2.7%;8;4.3%;17;7.6%;32;8.0%;10;10.9%;4;2.4%;4;7.7%;1;6.7%;62;"#VALUE!";35;11.9%;7;9.3%;63;9.8%;12;8.6%
"PTB";416;;;19;18.6%;3;4.8%;;;13;3.1%;7;3.8%;2;2.6%;8;3.3%;9;4.1%;67;7.9%;3;3.8%;2;1.4%;14;9.8%;24;10.8%;31;16.8%;71;31.7%;23;5.8%;1;1.1%;8;4.8%;4;7.7%;1;6.7%;31;"#VALUE!";3;1.0%;5;6.7%;61;9.5%;6;4.3%
"PTC";13;;;;;;;;;3;0.7%;;;;;;;1;0.5%;8;0.9%;;;;;;;;;;;;;;;1;1.1%;;;;;;;;;;;;;;;;
"PTdoB";8;;;2;2.0%;;;;;2;0.5%;;;;;2;0.8%;;;;;;;;;;;;;;;1;0.4%;;;;;;;;;;;;;;;1;1.3%;;;;
"PTN";17;;;;;;;;;1;0.2%;;;;;3;1.2%;;;7;0.8%;;;;;;;1;0.4%;;;;;;;;;;;5;9.6%;;;;;;;;;;;;
"PV";78;;;;;;;1;6.3%;3;0.7%;2;1.1%;1;1.3%;1;0.4%;19;8.8%;15;1.8%;;;2;1.4%;1;0.7%;;;;;;;3;0.8%;;;1;0.6%;3;5.8%;1;6.7%;;;;;;;24;3.7%;1;0.7%
